; x ;
1177;14,97;
1178;19,83;
1179;21,7;
1180;38,89;
1181;107,93;
1182;128,13;
1183;134,01;
1184;134,19;
1185;133,96;
1186;128,12;
1187;128,11;
1188;128,15;
1189;128,98;
1190;129,28;
1191;122,81;
1192;129,96;
1193;119,94;
1194;38,58;
1195;23,07;
1196;15,95;
1197;14,98;
1198;16,61;
1199;19,12;
1200;20,61;
1201;19,95;
1202;102,93;
1203;119,02;
1204;128,65;
1205;144,69;
1206;180,26;
1207;180,09;
1208;166,47;
1209;176,28;
1210;180,09;
1211;133,16;
1212;137,65;
1213;186,02;
1214;195,6;
1215;150,81;
1216;174,91;
1217;226,32;
1218;180,07;
1219;66,64;
1220;16,91;
1221;14,96;
1222;14,02;
1223;14,31;
1224;15,08;
1225;78,45;
1226;146,3;
1227;164,82;
1228;165,07;
1229;186,42;
1230;208,78;
1231;274,02;
1232;280,22;
1233;244,93;
1234;204,02;
1235;191,94;
1236;195,04;
1237;200,02;
1238;199,84;
1239;200,03;
1240;196,89;
1241;180,54;
1242;176,68;
1243;70;
1244;21,1;
1245;18,79;
1246;19,15;
1247;19,06;
1248;19,36;
1249;16,03;
1250;19,4;
1251;42,79;
1252;74,96;
1253;119,92;
1254;149,98;
1255;154,76;
1256;153,09;
1257;140,31;
1258;119,98;
1259;99,86;
1260;106,9;
1261;106,73;
1262;86,37;
1263;74,99;
1264;74,91;
1265;83,48;
1266;37,93;
1267;21,06;
1268;19,94;
1269;19,58;
1270;19,83;
1271;104,99;
1272;145,43;
1273;28,77;
1274;94,64;
1275;108,5;
1276;125,89;
1277;160,01;
1278;174,5;
1279;154,73;
1280;133,78;
1281;99,99;
1282;85,6;
1283;59,95;
1284;54,99;
1285;80,21;
1286;59,9;
1287;22,92;
1288;20,43;
1289;17,36;
1290;15,17;
1291;15,34;
1292;15,03;
1293;14,88;
1294;14;
1295;13,75;
1296;15,01;
1297;216,21;
1298;332,81;
1299;308,85;
1300;211,5;
1301;259,92;
1302;308,9;
1303;460,08;
1304;439,97;
1305;428,82;
1306;350;
1307;350,09;
1308;325,1;
1309;308,88;
1310;364,81;
1311;400,19;
1312;425,95;
1313;387,43;
1314;225,98;
1315;134,95;
1316;93,5;
1317;37,93;
1318;34,89;
1319;34,08;
1320;34,91;
1321;261,97;
1322;342,63;
1323;408,25;
1324;470,59;
1325;520;
1326;600,1;
1327;620;
1328;539,91;
1329;505,13;
1330;476,21;
1331;460;
1332;457,26;
1333;480;
1334;503,39;
1335;513,58;
1336;510,02;
1337;471,02;
1338;399,98;
1339;315,03;
1340;221,81;
1341;168,26;
1342;160,05;
1343;160,01;
1344;167,22;
1345;145,28;
1346;196,12;
1347;246,57;
1348;171,57;
1349;341,29;
1350;489,51;
1351;529,2;
1352;505,5;
1353;499,43;
1354;471,13;
1355;400,54;
1356;395,69;
1357;429,25;
1358;485,51;
1359;506,93;
1360;520,59;
1361;505,34;
1362;419,46;
1363;307,44;
1364;226,96;
1365;213,87;
1366;210,09;
1367;213,43;
1368;227,97;
1369;98,85;
1370;138,3;
1371;150,5;
1372;166,33;
1373;220,03;
1374;243,03;
1375;249,95;
1376;246,99;
1377;244,06;
1378;213,94;
1379;144,13;
1380;147,43;
1381;154,9;
1382;169,95;
1383;176,42;
1384;193,74;
1385;200,08;
1386;199,92;
1387;199,18;
1388;119,96;
1389;98,22;
1390;102,57;
1391;149,96;
1392;181,9;
1393;107,84;
1394;110,1;
1395;140,45;
1396;121,38;
1397;144,02;
1398;160,17;
1399;154,74;
1400;177,7;
1401;185,23;
1402;150,96;
1403;164,15;
1404;189,96;
1405;179,91;
1406;189,9;
1407;189,83;
1408;146,68;
1409;115,94;
1410;86,74;
1411;100,08;
1412;85,8;
1413;81,78;
1414;89,29;
1415;96,14;
1416;107,42;
1417;95,17;
1418;129,96;
1419;151,36;
1420;130,36;
1421;142,49;
1422;159,09;
1423;204,22;
1424;166,2;
1425;159,75;
1426;141,86;
1427;150,95;
1428;150,01;
1429;171,42;
1430;179,94;
1431;150,06;
1432;130,46;
1433;119,49;
1434;91,63;
1435;81,28;
1436;80,02;
1437;74,82;
1438;68,25;
1439;77,17;
1440;89,22;
1441;100,08;
1442;144,9;
1443;155,49;
1444;190,69;
1445;207,75;
1446;210,58;
1447;217,55;
1448;195,65;
1449;193,39;
1450;193,3;
1451;193,73;
1452;195,66;
1453;198,3;
1454;182,92;
1455;169,14;
1456;143,32;
1457;141,45;
1458;100,08;
1459;100;
1460;93,19;
1461;91,58;
1462;91,55;
1463;93,16;
1464;97,2;
1465;95,04;
1466;119,98;
1467;122,91;
1468;161,33;
1469;196,05;
1470;207,1;
1471;205;
1472;193,18;
1473;188,43;
1474;188,43;
1475;200,18;
1476;210,04;
1477;200,12;
1478;204,97;
1479;199,97;
1480;197,55;
1481;145,51;
1482;129,94;
1483;120,48;
1484;126,42;
1485;98,38;
1486;91,18;
1487;94,99;
1488;95,79;
1489;110,08;
1490;127,68;
1491;125,22;
1492;139,09;
1493;149,89;
1494;150,06;
1495;145;
1496;144,9;
1497;148,93;
1498;145;
1499;128,95;
1500;126,59;
1501;148;
1502;147,98;
1503;142,96;
1504;160,06;
1505;149,96;
1506;138,85;
1507;146,2;
1508;103,84;
1509;95,22;
1510;88,97;
1511;96,55;
1512;105,5;
1513;83,35;
1514;106,34;
1515;108,64;
1516;130,06;
1517;163,63;
1518;183,93;
1519;203,44;
1520;195,99;
1521;200;
1522;205,7;
1523;205,62;
1524;205,61;
1525;204,38;
1526;204,2;
1527;203,45;
1528;200;
1529;177,45;
1530;139,98;
1531;117,63;
1532;94,01;
1533;90,82;
1534;92,11;
1535;91,04;
1536;109,37;
1537;52,23;
1538;87,72;
1539;84,62;
1540;54,59;
1541;80;
1542;89,98;
1543;91,98;
1544;81,92;
1545;75,44;
1546;81,7;
1547;88,75;
1548;97,23;
1549;95,55;
1550;98,06;
1551;93,6;
1552;103,37;
1553;97,26;
1554;56,74;
1555;42,06;
1556;27,84;
1557;25,79;
1558;33,12;
1559;47,86;
1560;73,08;
1561;29,76;
1562;35,15;
1563;51,03;
1564;33,96;
1565;73,98;
1566;98,21;
1567;105,07;
1568;95,06;
1569;88,72;
1570;80,42;
1571;78,95;
1572;79,65;
1573;83,59;
1574;87,93;
1575;85,01;
1576;89,53;
1577;87,03;
1578;67,03;
1579;66,54;
1580;39,11;
1581;24,01;
1582;25,12;
1583;26,15;
1584;30,04;
1585;85,16;
1586;97,46;
1587;102,61;
1588;121,88;
1589;140,28;
1590;146,33;
1591;149,97;
1592;126,6;
1593;101,27;
1594;97,17;
1595;94,02;
1596;94,74;
1597;83,63;
1598;76,53;
1599;65,48;
1600;49,66;
1601;43,26;
1602;40,59;
1603;39,7;
1604;37,67;
1605;44,37;
1606;42,18;
1607;41,33;
1608;46,6;
1609;145,86;
1610;114,9;
1611;113,87;
1612;97,8;
1613;97,8;
1614;95,74;
1615;97,8;
1616;97,8;
1617;97,8;
1618;70,05;
1619;76,79;
1620;84,1;
1621;94,74;
1622;96,8;
1623;97,8;
1624;98,52;
1625;114,5;
1626;149,97;
1627;177,22;
1628;187,52;
1629;189,26;
1630;190,81;
1631;188,39;
1632;167,26;
1633;133,21;
1634;115,87;
1635;110,52;
1636;113;
1637;115,87;
1638;110,52;
1639;115,87;
1640;129,6;
1641;115,87;
1642;115,87;
1643;113;
1644;103,7;
1645;103,7;
1646;110,52;
1647;115,87;
1648;109,5;
1649;115,87;
1650;159,79;
1651;194,25;
1652;198;
1653;208,38;
1654;209,1;
1655;191,36;
1656;178;
1657;181,5;
1658;160,72;
1659;154,64;
1660;149,86;
1661;144,49;
1662;148,86;
1663;153,77;
1664;160,72;
1665;189,26;
1666;183,54;
1667;160,72;
1668;152,2;
1669;148,86;
1670;142,04;
1671;127,38;
1672;112,87;
1673;126,8;
1674;148,49;
1675;175,06;
1676;180;
1677;153,77;
1678;141,94;
1679;114,11;
1680;100,36;
1681;125,47;
1682;115,55;
1683;113,29;
1684;105,81;
1685;105;
1686;115,11;
1687;153,77;
1688;161,03;
1689;178,91;
1690;190;
1691;189,88;
1692;182,42;
1693;182,46;
1694;179,59;
1695;163,2;
1696;157,3;
1697;157,3;
1698;163,78;
1699;184,94;
1700;178,99;
1701;156,12;
1702;148,65;
1703;137,92;
1704;105;
1705;120,11;
1706;105,1;
1707;84,5;
1708;75,38;
1709;79,11;
1710;94,79;
1711;169,04;
1712;206,07;
1713;211,13;
1714;213,86;
1715;209,1;
1716;202,8;
1717;199,89;
1718;197,34;
1719;195,6;
1720;200;
1721;206,07;
1722;211,23;
1723;225;
1724;250,34;
1725;241,93;
1726;218,95;
1727;207,46;
1728;200;
1729;207,15;
1730;204,22;
1731;191,82;
1732;180,7;
1733;170,1;
1734;194,38;
1735;204,22;
1736;216,14;
1737;219,42;
1738;220;
1739;214,9;
1740;207,9;
1741;205;
1742;204,43;
1743;196,84;
1744;189,89;
1745;202,17;
1746;222,31;
1747;273,44;
1748;278,36;
1749;251,71;
1750;229,96;
1751;216,44;
1752;210;
1753;213,47;
1754;189;
1755;180;
1756;164,9;
1757;162,8;
1758;165;
1759;165,2;
1760;215,89;
1761;243,84;
1762;250,01;
1763;240;
1764;232,53;
1765;216,28;
1766;211,94;
1767;207,05;
1768;210,11;
1769;220,21;
1770;243,84;
1771;260;
1772;250;
1773;243,84;
1774;243,84;
1775;235,69;
1776;215,1;
1777;270,02;
1778;237,86;
1779;215,89;
1780;211,44;
1781;200,9;
1782;200;
1783;201,36;
1784;209,09;
1785;215,89;
1786;231;
1787;228,95;
1788;215,39;
1789;206,68;
1790;185;
1791;169,52;
1792;162,8;
1793;161,73;
1794;189,9;
1795;206,68;
1796;210;
1797;210;
1798;209,37;
1799;185,3;
1800;147,94;
1801;109,18;
1802;89,61;
1803;80,24;
1804;55,46;
1805;45,82;
1806;48,5;
1807;74,29;
1808;89,78;
1809;104,79;
1810;140;
1811;140;
1812;120;
1813;69,77;
1814;69,77;
1815;57,96;
1816;14;
1817;92,52;
1818;159,9;
1819;207,9;
1820;240;
1821;230,82;
1822;214,02;
1823;215,88;
1824;191,64;
1825;196,23;
1826;165;
1827;158,7;
1828;159,3;
1829;160,1;
1830;173,01;
1831;200,1;
1832;228,46;
1833;234,74;
1834;240;
1835;238,76;
1836;228,38;
1837;222,53;
1838;216,01;
1839;206,01;
1840;200,99;
1841;223;
1842;256,01;
1843;286,4;
1844;294,98;
1845;267,45;
1846;242,23;
1847;217,03;
1848;198,93;
1849;210,34;
1850;202,42;
