"","x"
"121",2.0641278348202
"122",0.189310457057667
"123",0
"124",0
"125",0
"126",0
"127",1.00773304436867
"128",0.977626117132957
"129",0.354238307025726
"130",0
"131",10.9628758183392
"132",13.5475593532436
"133",0
"134",1.4693265534628
"135",8.85939606228506
"136",4.34714461337875
"137",4.07648653102414
"138",1.8326823307083
"139",0
"140",0
"141",0
"142",0
"143",0
"144",1.40107851772484
"145",4.96901354691617
"146",1.88746384118488
"147",0.927517509557505
"148",0.378850530996402
"149",0.227520260890524
"150",0.210840355625836
"151",1.07521532494297
"152",1.23478365206881
"153",0.621751213881463
"154",0
"155",8.53325582427207
"156",11.083941186327
"157",0
"158",2.00204957066762
"159",8.59902422140562
"160",3.78527706079404
"161",4.01031200729952
"162",1.52954211050783
"163",0
"164",0
"165",0
"166",0
"167",0
"168",1.31489354524994
"169",0
"170",0
"171",0
"172",0.409432297345559
"173",2.02227274534815
"174",2.68510630524574
"175",6.56485171993188
"176",34.6591192916919
"177",111.811153494369
"178",131.078947190022
"179",147.45019999448
"180",103.098261471123
"181",136.465074982716
"182",120.922888682841
"183",117.119464367226
"184",146.171654776017
"185",89.1528360533631
"186",78.52293809075
"187",95.9694552671218
"188",63.9530410795129
"189",43.8535744378853
"190",29.3557888398074
"191",14.6029030280701
"192",3.49430386463898
"193",4.70080730333967
"194",0
"195",0
"196",0
"197",0
"198",0
"199",11.1437402900977
"200",37.9846886529703
"201",99.7680235413117
"202",169.744892111892
"203",152.72271859192
"204",75.8490897956259
"205",154.210596225032
"206",105.72146378519
"207",120.254181985164
"208",106.358420270411
"209",112.332130665169
"210",82.7550571105305
"211",95.4409117476795
"212",53.1092713187654
"213",32.8014769952457
"214",13.9855829449778
"215",2.67322950915029
"216",0
"217",2.58036971572129
"218",0
"219",0
"220",0
"221",0
"222",0
"223",5.07603379710121
"224",19.4009900583905
"225",79.3434831912534
"226",128.719692979744
"227",129.678958784608
"228",158.167724545478
"229",106.670258753431
"230",113.896619114621
"231",133.213665884553
"232",165.366178469362
"233",95.647496335049
"234",93.1354617755511
"235",82.1869978776295
"236",78.9845787450124
"237",55.2379734813557
